LR,RF,DT,NN,GBM,XGB
0.7919397116644823,0.7693315858453473,0.5604521625163827,0.7096985583224115,0.7211664482306683,0.7519659239842726
0.7460681520314547,0.8702490170380078,0.6638269986893839,0.8456749672346002,0.8669724770642201,0.8673001310615989
0.754259501965924,0.8371559633027524,0.6847968545216252,0.6884010484927916,0.8168414154652688,0.7663826998689384
0.6865319865319865,0.67003367003367,0.5757575757575757,0.5797979797979798,0.7148148148148148,0.7050505050505049
0.801010101010101,0.8351851851851851,0.5890572390572391,0.7565656565656566,0.8744107744107744,0.8740740740740741
0.679124579124579,0.7941077441077441,0.5013468013468013,0.7087542087542087,0.7804713804713805,0.7373737373737375
0.6013468013468014,0.8203703703703704,0.562121212121212,0.7202020202020202,0.8020202020202021,0.7609427609427609
0.6781144781144781,0.6934343434343435,0.5156565656565657,0.5393939393939393,0.6212121212121212,0.5707070707070707
0.7206931702344546,0.7932381923207611,0.6214746856948692,0.7774379884471627,0.7804960924226979,0.7567108392796467
0.6680258239891267,0.6131498470948011,0.5341488277268094,0.6299694189602446,0.6235134216785593,0.6527353041114509
